citation_number,bibtex_key,manuscript_location,claim_summary,support_level,verification_status,correction_required,notes
1,androidPermissions2026,Introduction paragraph 1,"Android permission model provides platform controls for restricted data and actions.",DIRECT,VERIFIED,none,"Official Android Developers permissions overview supports this platform claim."
2,googlePlayDataSafety2026,Introduction paragraph 1,"Google Play Data Safety provides user-facing disclosure about app privacy and security practices.",DIRECT,VERIFIED,none,"Official Google Play Help page supports the Data Safety description."
3,sutter2024dynamic,Introduction paragraph 3,"Dynamic Android observations are scenario-bounded and depend on device, environment, stimulation, and app state.",DIRECT,VERIFIED,none,"Systematic literature review supports limitations of Android dynamic analysis."
4,arkalakis2024datasafety,Introduction paragraph 3,"Longitudinal dynamic analysis found incomplete Google Play Data Safety disclosure.",DIRECT,VERIFIED,none,"USENIX Security paper directly supports incomplete disclosure claim."
5,khandelwal2024privacylabels,Introduction paragraph 3,"Data Safety labels show under-reporting, over-reporting, and developer-study concerns.",DIRECT,VERIFIED,none,"USENIX Security paper directly supports privacy-label measurement and developer-perspective claim."
6,zhang2024privacysdks,Introduction paragraph 3,"Privacy-configurable mobile SDKs introduce implementation and configuration risks.",DIRECT,VERIFIED,none,"USENIX Security paper directly supports SDK privacy-configuration risk claim."
1,androidPermissions2026,Background paragraph 1,"Android permissions protect restricted data and actions.",DIRECT,VERIFIED,none,"Official Android Developers documentation directly supports the claim."
7,androidPrivacyChecklist2026,Background paragraph 1,"Android privacy guidance encourages minimizing data access.",DIRECT,VERIFIED,none,"Official Android privacy checklist supports data minimization guidance."
8,androidSecurityBestPractices2026,Background paragraph 1,"Android security guidance addresses secure inter-application communication and platform practices.",DIRECT,VERIFIED,none,"Official Android security best-practices page supports this platform-security guidance claim."
9,yang2022maniscope,Background paragraph 2,"Manifest-focused work shows structural Android exposure can be measured at scale.",DIRECT,VERIFIED,metadata corrected,"ACM CCS paper supports manifest-misconfiguration measurement at scale."
10,zhu2024sastandroid,Background paragraph 2,"Android SAST tool coverage, detector semantics, and reporting consistency vary substantially.",DIRECT,VERIFIED,none,"IEEE TSE paper directly studies Android SAST tools and reporting consistency."
11,androidAppBundles2026,Background paragraph 4,"Google Play commonly delivers device-specific APK sets from Android App Bundles, including base and split APKs.",DIRECT,VERIFIED,none,"Official Android App Bundles documentation supports split/base APK distribution context."
9,yang2022maniscope,Literature Review Static Android Exposure,"ManiScope demonstrated manifest misconfiguration across Google Play and pre-installed apps.",DIRECT,VERIFIED,metadata corrected,"Claim narrowed to manifest misconfiguration and app corpus."
12,wang2023runtimepermissions,Literature Review Static Android Exposure,"Runtime permission handling remains error-prone across Android versions and execution states.",DIRECT,VERIFIED,doi added,"IEEE TSE runtime-permission taxonomy directly supports the claim."
10,zhu2024sastandroid,Literature Review Static Android Exposure,"Android SAST tools vary in vulnerability-type coverage and reporting consistency.",DIRECT,VERIFIED,none,"Claim matches the SAST tool study scope."
13,khedkar2026privacydata,Literature Review Static Android Exposure,"Privacy-related data collection is difficult to define and report consistently across APIs, UI, and third-party code.",DIRECT,VERIFIED,none,"Springer Automated Software Engineering article supports multi-layered privacy-data definition and reporting issues."
3,sutter2024dynamic,Literature Review Runtime and Network Observation,"Android dynamic analysis faces coverage, stimulation, nondeterminism, and environment-dependence limits.",DIRECT,VERIFIED,metadata corrected,"IEEE Access systematic review supports methodological limitations."
14,paci2023tracking,Literature Review Runtime and Network Observation,"Execution-time evidence is needed to characterize service activation and third-party tracking behavior.",DIRECT,VERIFIED,pages added,"ACM ARES tracking study supports runtime tracking-observation context."
4,arkalakis2024datasafety,Literature Review Privacy Disclosures,"Dynamic analysis against Data Safety disclosures found widespread incomplete disclosure.",DIRECT,VERIFIED,none,"USENIX paper directly supports the claim."
5,khandelwal2024privacylabels,Literature Review Privacy Disclosures,"Data Safety labels include over-reporting, under-reporting, and developer friction.",DIRECT,VERIFIED,none,"USENIX paper supports both measurement and developer-perspective claims."
6,zhang2024privacysdks,Literature Review Privacy Disclosures,"Privacy-configurable mobile SDKs have systematic implementation and usage risks.",DIRECT,VERIFIED,none,"USENIX paper supports SDK privacy-configuration risk claim."
15,rodriguez2025privacysettings,Literature Review Privacy Disclosures,"Third-party SDK privacy settings and defaults shape app privacy posture at scale.",DIRECT,VERIFIED,none,"PoPETs paper directly studies privacy settings of Facebook SDKs in Android apps."
16,karyotakis2026messaging,Literature Review Combined Static-Runtime Studies,"Recent work compared Android messaging apps using static and dynamic scenarios.",DIRECT,VERIFIED,none,"arXiv preprint is publicly available and no newer publisher version was found in this pass."
17,owaspMasvs2024,Methodology Static and Runtime Evidence,"Static variables include MASVS-aligned categories.",DIRECT,VERIFIED,none,"Official OWASP MASVS page supports MASVS category reference."
9,yang2022maniscope,Table I ManiScope row,"ManiScope row: static yes, runtime no, limited privacy, manifest/package provenance, large app corpus, no runtime alignment.",DIRECT,VERIFIED,metadata corrected,"Table characterization matches manifest-focused ACM CCS paper."
12,wang2023runtimepermissions,Table I Runtime permissions row,"Runtime-permissions row: permissions plus behavioral failures, indirect privacy, permission-issue scope, not network-focused.",DIRECT,VERIFIED,doi added,"Table characterization matches runtime-permission taxonomy paper."
3,sutter2024dynamic,Table I Dynamic SLR row,"Dynamic SLR row: static/runtime surveyed, method-level provenance, literature scope, no empirical app bundle.",DIRECT,VERIFIED,metadata corrected,"Table characterization matches systematic literature review."
14,paci2023tracking,Table I Tracking study row,"Tracking-study row: execution-based third-party tracking focus with less build alignment.",DIRECT,VERIFIED,pages added,"Table characterization matches ACM tracking study."
4,arkalakis2024datasafety,Table I Data Safety longitudinal row,"Data Safety longitudinal row: ecosystem/dynamic disclosure analysis with longitudinal Google Play label scope.",DIRECT,VERIFIED,none,"Table characterization matches USENIX paper."
16,karyotakis2026messaging,Table I Karyotakis row,"Karyotakis row: static and dynamic security/privacy comparison of three messaging apps.",DIRECT,VERIFIED,none,"Table characterization matches arXiv preprint abstract and scope."
5,khandelwal2024privacylabels,Table I Privacy labels row,"Privacy-label row: Data Safety measurement and developer/app disclosure scope without runtime PCAP.",DIRECT,VERIFIED,none,"Table characterization matches USENIX paper."
6,zhang2024privacysdks,Table I Privacy SDKs row,"Privacy-SDK row: SDK configuration and SDK-specific privacy risk.",DIRECT,VERIFIED,none,"Table characterization matches USENIX paper."
10,zhu2024sastandroid,Table I Android SAST row,"Android SAST row: static SAST tools, security findings, no runtime layer.",DIRECT,VERIFIED,none,"Table characterization matches IEEE TSE SAST study."
