bibtex_key,reference_number,title,all_authors_verified,venue_verified,year_verified,volume_verified,issue_verified,pages_verified,doi,doi_verified,official_verification_url,source_type,status,notes
androidPermissions2026,1,"Permissions on Android",yes,yes,yes,n/a,n/a,n/a,,n/a,https://developer.android.com/guide/topics/permissions/overview,official_platform_documentation,METADATA_CORRECTED,"Official Android Developers page; last updated Jun. 18, 2026; access date retained."
googlePlayDataSafety2026,2,"Understand app privacy and security practices with Google Play's Data safety section",yes,yes,n/a,n/a,n/a,n/a,,n/a,https://support.google.com/googleplay/answer/11416267,official_platform_documentation,METADATA_CORRECTED,"Official Google Play Help page; unsupported publication year removed; access date retained."
sutter2024dynamic,3,"Dynamic security analysis on Android: A systematic literature review",yes,yes,yes,yes,n/a,yes,10.1109/ACCESS.2024.3390612,yes,https://doi.org/10.1109/ACCESS.2024.3390612,publisher_doi,METADATA_CORRECTED,"IEEE Access volume 12 and pages 57261-57287 added."
arkalakis2024datasafety,4,"Abandon All Hope Ye Who Enter Here: A Dynamic, Longitudinal Investigation of Android's Data Safety Section",yes,yes,yes,n/a,n/a,yes,,n/a,https://www.usenix.org/conference/usenixsecurity24/presentation/arkalakis,official_conference_page,VERIFIED_WITHOUT_DOI,"USENIX Security 24 page verified authors, title, venue, and pages 5645-5662."
khandelwal2024privacylabels,5,"Unpacking Privacy Labels: A Measurement and Developer Perspective on Google’s Data Safety Section",yes,yes,yes,n/a,n/a,yes,,n/a,https://www.usenix.org/conference/usenixsecurity24/presentation/khandelwal,official_conference_page,VERIFIED_WITHOUT_DOI,"USENIX Security 24 page verified authors, title, venue, and pages 2831-2848."
zhang2024privacysdks,6,"Navigating the Privacy Compliance Maze: Understanding Risks with Privacy-Configurable Mobile SDKs",yes,yes,yes,n/a,n/a,yes,,n/a,https://www.usenix.org/conference/usenixsecurity24/presentation/zhang-yifan,official_conference_page,VERIFIED_WITHOUT_DOI,"USENIX Security 24 page verified authors, title, venue, and pages 6543-6560."
androidPrivacyChecklist2026,7,"Privacy checklist",yes,yes,yes,n/a,n/a,n/a,,n/a,https://developer.android.com/privacy-and-security/about,official_platform_documentation,METADATA_CORRECTED,"Official Android Developers page; last updated Mar. 6, 2026; access date retained."
androidSecurityBestPractices2026,8,"Improve your app's security",yes,yes,yes,n/a,n/a,n/a,,n/a,https://developer.android.com/privacy-and-security/security-best-practices,official_platform_documentation,METADATA_CORRECTED,"Official Android Developers page; last updated Jun. 18, 2026; access date retained."
yang2022maniscope,9,"Detecting and Measuring Misconfigured Manifests in Android Apps",yes,yes,yes,n/a,n/a,yes,10.1145/3548606.3560607,yes,https://doi.org/10.1145/3548606.3560607,publisher_doi,METADATA_CORRECTED,"Author list, title, and pages corrected to ACM/DOI metadata."
zhu2024sastandroid,10,"A Comprehensive Study on Static Application Security Testing (SAST) Tools for Android",yes,yes,yes,yes,yes,yes,10.1109/TSE.2024.3488041,yes,https://doi.org/10.1109/TSE.2024.3488041,publisher_doi,VERIFIED,"IEEE TSE metadata verified: vol. 50, no. 12, pages 3385-3402."
androidAppBundles2026,11,"About Android App Bundles",yes,yes,yes,n/a,n/a,n/a,,n/a,https://developer.android.com/guide/app-bundle,official_platform_documentation,METADATA_CORRECTED,"Official Android Developers page; last updated Jun. 24, 2026; access date retained."
wang2023runtimepermissions,12,"Runtime Permission Issues in Android Apps: Taxonomy, Practices, and Ways Forward",yes,yes,yes,yes,yes,yes,10.1109/TSE.2022.3148258,yes,https://doi.org/10.1109/TSE.2022.3148258,publisher_doi,METADATA_CORRECTED,"Verified DOI added; IEEE TSE metadata verified: vol. 49, no. 1, pages 185-210."
khedkar2026privacydata,13,"A study of privacy-related data collected by Android apps",yes,yes,yes,yes,yes,yes,10.1007/s10515-025-00589-3,yes,https://doi.org/10.1007/s10515-025-00589-3,publisher_doi,VERIFIED,"Springer article metadata verified; official page identifies volume 33, article 45."
paci2023tracking,14,"A Comprehensive Study on Third-Party User Tracking in Mobile Applications",yes,yes,yes,n/a,n/a,yes,10.1145/3600160.3605079,yes,https://doi.org/10.1145/3600160.3605079,publisher_doi,METADATA_CORRECTED,"ACM ARES page range 1-8 added."
rodriguez2025privacysettings,15,"Privacy Settings of Third-Party Libraries in Android Apps: A Study of Facebook SDKs",yes,yes,yes,yes,yes,yes,10.56553/popets-2025-0056,yes,https://doi.org/10.56553/popets-2025-0056,publisher_doi,VERIFIED,"PoPETs 2025(2), pages 173-187 verified."
karyotakis2026messaging,16,"An Empirical Comparison of Security and Privacy Characteristics of Android Messaging Apps",yes,yes,yes,n/a,n/a,n/a,,n/a,https://arxiv.org/abs/2603.29668,arxiv_preprint,VERIFIED_WITHOUT_DOI,"arXiv:2603.29668 verified; no newer publisher version found during this pass."
owaspMasvs2024,17,"OWASP Mobile Application Security Verification Standard (MASVS)",yes,yes,yes,n/a,n/a,n/a,,n/a,https://mas.owasp.org/MASVS/,official_standard,VERIFIED_WITHOUT_DOI,"Official OWASP MASVS page retained; version 2.1.0 and access date recorded."
